Role,Permissions,Information_Access
Administrator,"Full access: Read, Write, Execute, Manage Users","All Information: Access to all systems, configuration data, user accounts, logs, financial records, contracts, mergers, customer feedback, HR data, and authority to modify security policies, roles, and access rules."
IT Support,"Read, Execute, Troubleshoot","System Logs, User Accounts: Diagnostic data, system performance reports, user technical support data, but no access to confidential HR, financial information and no access to customer feedback or payroll information or personal data like phone numbers."
Security Officer,"Read, Monitor, Execute, Configure Security Policies","Contracts, Access Logs, Security Policies, Encryption Keys: Focus on security events, audit logs, and role compliance monitoring."
Compliance Officer,"Read, Monitor","Contracts, Customer Feedback, Audit Logs, Access Logs, Compliance Reports: Access to audit reports for regulatory compliance, and user behavior monitoring logs."
HR Manager,"Read, Write","Access to Employee Personal Data and Phone Numbers, Payroll Information, Employee Personal Records, Customer Feedback, Benefits Data: Manage employee personal records, performance reviews, but no access to system logs."
Finance Manager,"Read, Write, Approve Payments","Financial Records, Payroll Data, Budget Reports: Access to company accounts, budgets, payroll, but no access to employee personal data or system logs."
Project Manager,"Read, Write, Approve","Project Plans, Budget Forecasts, Employee Performance (limited): Oversee project-related data, budget forecasts, timelines, with limited access to team-specific HR data."
Developer,"Read, Write Code, Access Development Tools","Source Code, Technical Documentation, Development Data: Access to code repositories, project documentation, product blueprints, but no access to financial, payroll, or employee personal data."
Salesperson,"Read, Update CRM","Customer Data, Sales Reports, Product Catalog: Access to customer details, sales records, CRM tools, but no access to HR, financial, or technical data."
Marketing Team,"Read, Write Campaign Data, Analyze Metrics","Contracts, Customer Segments, Campaign Data, Website Analytics: Access to customer targeting, marketing data, campaign effectiveness, but no access to financial or HR data."
Legal Department,"Read, Review, Audit","Contracts, Compliance Reports, Legal Documentation: Access to legal contracts, compliance records, but no access to operational, HR, or system logs unless related to compliance cases."
Customer Service,"Read, Update Customer Data, Log Tickets","Customer Feedback, Customer Data, Support Tickets: Access to customer account details, support interactions, but no access to sales records or financial systems."
Auditor,Read-Only,"Contracts, Access Logs, Financial Reports, System Logs: Read-only access to logs and reports for auditing purposes, no modification rights."
Intern,"Read, Limited Write (Department-Specific)","Limited Department Data: Temporary or restricted access based on department, limited access to project data, customer data for support, etc. No access to payroll."
Client,Read-Only (Self-Service Portals),"Own Account Information, Orders: Can access only their personal data, purchase history, and account settings, but no access to broader company systems or data."
